rentalId,rentalDate,inventoryId,customerId,rt_returnDate,rt_staffId,rt_lastUpdate
400056,2019-07-24 03:35:55,5323,641,2019-08-01 03:35:55,154,2019-08-02 03:35:55
400057,2014-11-19 07:57:42,9160,874,2014-11-27 07:57:42,171,2014-11-28 07:57:42
400058,2011-03-31 05:23:17,9932,613,2011-04-03 05:23:17,163,2011-04-04 05:23:17
400059,2013-06-16 07:56:30,10308,647,2013-06-22 07:56:30,169,2013-06-23 07:56:30
400060,2013-04-19 19:59:12,5744,804,2013-04-26 19:59:12,183,2013-04-27 19:59:12
400061,2014-02-21 15:43:34,10308,1190,2014-02-28 15:43:34,139,2014-03-01 15:43:34
400062,2019-10-02 09:49:06,9505,967,2019-10-04 09:49:06,133,2019-10-05 09:49:06
400063,2020-08-10 07:19:11,8325,737,2020-08-11 07:19:11,161,2020-08-12 07:19:11
400064,2013-04-20 09:40:16,7617,964,2013-04-25 09:40:16,143,2013-04-26 09:40:16
400065,2015-11-23 17:34:23,5416,1104,2015-11-28 17:34:23,157,2015-11-29 17:34:23
400066,2020-10-22 01:17:31,8012,633,2020-10-26 01:17:31,170,2020-10-27 01:17:31
400067,2015-09-11 01:50:00,5794,822,2015-09-19 01:50:00,172,2015-09-20 01:50:00
400068,2020-06-19 10:55:46,8607,1124,2020-06-27 10:55:46,149,2020-06-28 10:55:46
400069,2011-09-08 23:27:13,7407,856,2011-09-13 23:27:13,140,2011-09-14 23:27:13
400070,2015-07-30 04:47:37,7984,967,2015-08-05 04:47:37,151,2015-08-06 04:47:37
400071,2018-12-27 21:57:42,8377,602,2018-12-31 21:57:42,158,2019-01-01 21:57:42
400072,2012-02-08 19:56:22,8993,950,2012-02-11 19:56:22,172,2012-02-12 19:56:22
400073,2019-06-24 01:00:25,5331,848,2019-06-29 01:00:25,140,2019-06-30 01:00:25
400074,2014-07-23 05:29:54,8265,978,2014-07-31 05:29:54,129,2014-08-01 05:29:54
400075,2014-10-25 11:32:25,7773,939,2014-10-26 11:32:25,129,2014-10-27 11:32:25
400076,2010-01-29 18:17:43,8149,950,2010-02-07 18:17:43,159,2010-02-08 18:17:43
400077,2011-07-17 16:14:55,5945,925,2011-07-24 16:14:55,146,2011-07-25 16:14:55
400078,2013-06-17 22:48:47,7726,1078,2013-06-22 22:48:47,147,2013-06-23 22:48:47
400079,2013-06-06 06:08:59,9266,1042,2013-06-08 06:08:59,158,2013-06-09 06:08:59
400080,2017-11-19 05:08:12,4673,959,2017-11-26 05:08:12,177,2017-11-27 05:08:12
400081,2016-05-17 05:12:16,9754,1073,2016-05-20 05:12:16,127,2016-05-21 05:12:16
400082,2017-09-30 13:47:50,9030,953,2017-10-09 13:47:50,159,2017-10-10 13:47:50
400083,2016-11-23 23:03:28,8309,1079,2016-11-29 23:03:28,157,2016-11-30 23:03:28
400084,2013-10-18 00:41:22,6460,1178,2013-10-23 00:41:22,153,2013-10-24 00:41:22
400085,2011-01-21 15:05:41,8764,1130,2011-01-24 15:05:41,173,2011-01-25 15:05:41
400086,2015-07-17 00:14:13,8782,887,2015-07-19 00:14:13,135,2015-07-20 00:14:13
400087,2011-10-08 08:58:47,5722,1070,2011-10-09 08:58:47,154,2011-10-10 08:58:47
400088,2014-04-07 11:23:06,9273,1179,2014-04-13 11:23:06,142,2014-04-14 11:23:06
400089,2011-09-18 18:12:44,9250,1034,2011-09-27 18:12:44,169,2011-09-28 18:12:44
400090,2010-10-16 09:35:19,10002,944,2010-10-24 09:35:19,168,2010-10-25 09:35:19
400091,2018-12-19 19:25:21,5441,851,2018-12-22 19:25:21,168,2018-12-23 19:25:21
400092,2020-11-12 03:39:09,10101,1143,2020-11-17 03:39:09,158,2020-11-18 03:39:09
400093,2019-09-15 20:22:01,9211,1074,2019-09-19 20:22:01,184,2019-09-20 20:22:01
400094,2018-10-08 15:13:21,8937,794,2018-10-17 15:13:21,153,2018-10-18 15:13:21
400095,2014-10-21 13:15:50,8631,816,2014-10-24 13:15:50,160,2014-10-25 13:15:50
400096,2019-07-19 05:44:55,9584,1126,2019-07-28 05:44:55,141,2019-07-29 05:44:55
400097,2010-09-08 07:58:55,9925,689,2010-09-12 07:58:55,168,2010-09-13 07:58:55
400098,2016-10-03 16:36:46,10297,1055,2016-10-05 16:36:46,177,2016-10-06 16:36:46
400099,2012-02-26 05:30:36,9258,818,2012-03-06 05:30:36,181,2012-03-07 05:30:36
400100,2015-07-08 16:00:36,9042,1091,2015-07-13 16:00:36,182,2015-07-14 16:00:36
400101,2018-12-07 13:12:22,8764,609,2018-12-12 13:12:22,146,2018-12-13 13:12:22
400102,2010-12-25 00:04:45,10171,993,2010-12-28 00:04:45,165,2010-12-29 00:04:45
400103,2012-10-19 22:55:09,6344,608,2012-10-28 22:55:09,138,2012-10-29 22:55:09
400104,2011-12-31 10:09:37,8650,642,2012-01-04 10:09:37,139,2012-01-05 10:09:37
400105,2018-01-02 22:37:23,4688,934,2018-01-03 22:37:23,165,2018-01-04 22:37:23
400106,2011-06-20 14:45:30,5505,886,2011-06-27 14:45:30,179,2011-06-28 14:45:30
400107,2013-05-01 20:00:12,8224,1118,2013-05-03 20:00:12,152,2013-05-04 20:00:12
400108,2016-06-07 01:53:33,8899,960,2016-06-12 01:53:33,130,2016-06-13 01:53:33
400109,2020-03-15 06:38:08,8851,1047,2020-03-20 06:38:08,180,2020-03-21 06:38:08
400110,2010-08-03 18:44:37,6569,1152,2010-08-11 18:44:37,153,2010-08-12 18:44:37
400111,2010-09-20 02:41:21,5022,815,2010-09-27 02:41:21,154,2010-09-28 02:41:21
400112,2016-10-01 18:32:26,8635,814,2016-10-10 18:32:26,148,2016-10-11 18:32:26
400113,2013-04-20 05:44:51,4736,1065,2013-04-24 05:44:51,134,2013-04-25 05:44:51
400114,2020-07-11 22:35:04,6176,929,2020-07-18 22:35:04,168,2020-07-19 22:35:04
400115,2015-03-03 11:05:02,8614,685,2015-03-05 11:05:02,168,2015-03-06 11:05:02
400116,2019-12-22 17:03:36,5193,718,2019-12-31 17:03:36,183,2020-01-01 17:03:36
400117,2012-11-20 06:39:26,9127,1060,2012-11-28 06:39:26,178,2012-11-29 06:39:26
400118,2011-08-17 10:34:37,6168,859,2011-08-20 10:34:37,163,2011-08-21 10:34:37
400119,2011-01-05 16:47:52,5172,605,2011-01-06 16:47:52,134,2011-01-07 16:47:52
400120,2011-01-03 13:38:38,7788,1052,2011-01-10 13:38:38,130,2011-01-11 13:38:38
400121,2019-10-09 09:14:40,9779,1129,2019-10-17 09:14:40,149,2019-10-18 09:14:40
400122,2017-06-05 12:42:29,5126,732,2017-06-07 12:42:29,182,2017-06-08 12:42:29
400123,2018-12-25 09:48:44,7884,805,2018-12-29 09:48:44,152,2018-12-30 09:48:44
400124,2015-05-11 13:43:12,9217,1111,2015-05-18 13:43:12,150,2015-05-19 13:43:12
400125,2016-09-23 02:43:09,8829,1067,2016-09-26 02:43:09,131,2016-09-27 02:43:09
400126,2020-09-19 03:38:37,8320,651,2020-09-20 03:38:37,133,2020-09-21 03:38:37
400127,2014-07-02 05:23:51,6719,955,2014-07-07 05:23:51,127,2014-07-08 05:23:51
400128,2018-10-19 02:15:07,7866,721,2018-10-22 02:15:07,128,2018-10-23 02:15:07
400129,2016-02-27 03:23:00,5367,844,2016-02-28 03:23:00,129,2016-02-29 03:23:00
400130,2012-04-30 05:41:14,7192,1190,2012-05-05 05:41:14,186,2012-05-06 05:41:14
400131,2011-05-17 03:00:25,9265,1096,2011-05-25 03:00:25,183,2011-05-26 03:00:25
400132,2020-06-08 12:21:40,9697,646,2020-06-10 12:21:40,165,2020-06-11 12:21:40
400133,2018-11-07 05:36:13,6420,902,2018-11-12 05:36:13,135,2018-11-13 05:36:13
400134,2011-03-03 10:10:37,8277,702,2011-03-06 10:10:37,173,2011-03-07 10:10:37
400135,2018-08-08 10:50:31,8520,1067,2018-08-14 10:50:31,156,2018-08-15 10:50:31
400136,2020-08-31 15:26:58,8816,715,2020-09-02 15:26:58,165,2020-09-03 15:26:58
400137,2011-06-02 13:42:44,7326,631,2011-06-08 13:42:44,157,2011-06-09 13:42:44
400138,2017-09-21 08:29:55,6457,913,2017-09-25 08:29:55,182,2017-09-26 08:29:55
400139,2012-11-30 08:50:42,9904,607,2012-12-07 08:50:42,178,2012-12-08 08:50:42
400140,2013-06-05 23:40:09,5375,820,2013-06-12 23:40:09,144,2013-06-13 23:40:09
400141,2012-06-21 22:10:04,7304,1100,2012-06-27 22:10:04,142,2012-06-28 22:10:04
400142,2012-09-07 05:16:33,10438,801,2012-09-16 05:16:33,138,2012-09-17 05:16:33
400143,2011-04-07 05:30:35,8811,986,2011-04-16 05:30:35,172,2011-04-17 05:30:35
400144,2011-04-28 08:44:29,6459,1156,2011-05-06 08:44:29,131,2011-05-07 08:44:29
400145,2016-01-08 06:52:15,6844,1157,2016-01-14 06:52:15,184,2016-01-15 06:52:15
400146,2014-06-09 09:47:27,6274,835,2014-06-18 09:47:27,133,2014-06-19 09:47:27
400147,2010-10-23 05:01:13,6563,881,2010-10-27 05:01:13,135,2010-10-28 05:01:13
400148,2015-05-06 13:13:53,6636,648,2015-05-11 13:13:53,170,2015-05-12 13:13:53
400149,2016-03-17 12:53:00,10178,762,2016-03-25 12:53:00,134,2016-03-26 12:53:00
400150,2012-06-10 03:32:03,8606,1158,2012-06-16 03:32:03,169,2012-06-17 03:32:03
400151,2013-02-07 21:43:24,10079,756,2013-02-16 21:43:24,145,2013-02-17 21:43:24
400152,2012-01-28 02:18:33,7973,709,2012-02-02 02:18:33,170,2012-02-03 02:18:33
400153,2019-05-02 10:32:19,5681,804,2019-05-04 10:32:19,136,2019-05-05 10:32:19
400154,2011-03-05 22:52:29,7725,670,2011-03-06 22:52:29,185,2011-03-07 22:52:29
400155,2014-01-30 00:42:35,9597,939,2014-02-02 00:42:35,137,2014-02-03 00:42:35
400156,2019-04-14 16:57:49,5534,1117,2019-04-18 16:57:49,157,2019-04-19 16:57:49
400157,2020-08-16 16:32:56,6541,703,2020-08-20 16:32:56,158,2020-08-21 16:32:56
400158,2015-09-14 10:00:29,8798,814,2015-09-20 10:00:29,167,2015-09-21 10:00:29
400159,2017-09-13 14:16:51,5038,774,2017-09-22 14:16:51,134,2017-09-23 14:16:51
400160,2019-04-04 13:51:13,5203,786,2019-04-11 13:51:13,168,2019-04-12 13:51:13
400161,2019-02-13 16:53:59,7375,684,2019-02-16 16:53:59,146,2019-02-17 16:53:59
400162,2020-07-07 19:42:42,9288,649,2020-07-09 19:42:42,133,2020-07-10 19:42:42
400163,2010-08-14 07:02:12,7914,879,2010-08-22 07:02:12,164,2010-08-23 07:02:12
400164,2020-10-29 21:06:26,10117,1107,2020-11-01 21:06:26,182,2020-11-02 21:06:26
400165,2016-10-31 11:18:49,5531,669,2016-11-08 11:18:49,139,2016-11-09 11:18:49
400166,2015-11-14 12:29:31,8713,814,2015-11-17 12:29:31,183,2015-11-18 12:29:31
400167,2014-03-13 06:26:43,4739,953,2014-03-15 06:26:43,158,2014-03-16 06:26:43
400168,2010-11-08 23:26:02,9593,1017,2010-11-11 23:26:02,154,2010-11-12 23:26:02
400169,2014-03-02 19:21:11,4957,882,2014-03-05 19:21:11,132,2014-03-06 19:21:11
400170,2016-04-07 22:03:14,7009,1033,2016-04-08 22:03:14,144,2016-04-09 22:03:14
400171,2017-04-30 11:38:26,9176,926,2017-05-06 11:38:26,163,2017-05-07 11:38:26
400172,2018-11-04 16:33:43,7210,633,2018-11-05 16:33:43,177,2018-11-06 16:33:43
400173,2012-09-21 00:27:07,10200,787,2012-09-25 00:27:07,161,2012-09-26 00:27:07
400174,2011-01-03 03:05:00,5315,786,2011-01-05 03:05:00,153,2011-01-06 03:05:00
400175,2018-02-11 01:07:14,5741,1139,2018-02-19 01:07:14,165,2018-02-20 01:07:14
400176,2020-11-21 19:52:46,8777,1021,2020-11-26 19:52:46,141,2020-11-27 19:52:46
400177,2016-04-28 09:30:48,8613,1150,2016-05-04 09:30:48,139,2016-05-05 09:30:48
400178,2014-05-07 09:55:18,8929,1188,2014-05-15 09:55:18,137,2014-05-16 09:55:18
400179,2015-11-18 10:53:12,6072,1098,2015-11-27 10:53:12,172,2015-11-28 10:53:12
400180,2012-08-08 01:12:58,7852,612,2012-08-13 01:12:58,167,2012-08-14 01:12:58
400181,2011-11-19 13:25:49,4825,1093,2011-11-23 13:25:49,167,2011-11-24 13:25:49
400182,2019-04-09 09:56:27,8993,974,2019-04-16 09:56:27,150,2019-04-17 09:56:27
400183,2012-11-03 11:27:37,8893,778,2012-11-10 11:27:37,165,2012-11-11 11:27:37
400184,2020-11-18 00:36:07,5537,686,2020-11-24 00:36:07,129,2020-11-25 00:36:07
400185,2016-02-18 18:44:15,5513,909,2016-02-23 18:44:15,182,2016-02-24 18:44:15
400186,2018-06-30 05:04:06,5670,968,2018-07-02 05:04:06,179,2018-07-03 05:04:06
400187,2016-02-10 22:00:56,5857,651,2016-02-14 22:00:56,183,2016-02-15 22:00:56
400188,2017-03-05 06:59:06,8903,732,2017-03-13 06:59:06,174,2017-03-14 06:59:06
400189,2011-06-14 18:08:51,5081,711,2011-06-23 18:08:51,129,2011-06-24 18:08:51
400190,2018-07-15 00:25:26,6443,721,2018-07-24 00:25:26,162,2018-07-25 00:25:26
400191,2010-10-16 08:06:48,9574,1133,2010-10-21 08:06:48,184,2010-10-22 08:06:48
400192,2018-04-08 14:39:49,7747,719,2018-04-17 14:39:49,182,2018-04-18 14:39:49
400193,2018-01-06 01:42:08,5369,797,2018-01-07 01:42:08,177,2018-01-08 01:42:08
400194,2016-07-02 14:58:40,7612,995,2016-07-10 14:58:40,135,2016-07-11 14:58:40
400195,2014-04-08 05:38:23,7192,1074,2014-04-09 05:38:23,164,2014-04-10 05:38:23
400196,2016-05-14 00:20:23,8790,867,2016-05-16 00:20:23,161,2016-05-17 00:20:23
400197,2012-06-02 19:28:15,10052,839,2012-06-10 19:28:15,136,2012-06-11 19:28:15
400198,2019-04-08 10:31:06,4800,845,2019-04-13 10:31:06,129,2019-04-14 10:31:06
400199,2013-09-08 15:39:59,6636,725,2013-09-10 15:39:59,163,2013-09-11 15:39:59
400200,2016-04-13 12:35:28,7388,772,2016-04-19 12:35:28,143,2016-04-20 12:35:28
400201,2013-10-15 03:21:59,5013,823,2013-10-21 03:21:59,172,2013-10-22 03:21:59
400202,2015-08-15 14:41:27,7179,958,2015-08-22 14:41:27,146,2015-08-23 14:41:27
400203,2020-08-14 00:53:22,7163,1117,2020-08-16 00:53:22,153,2020-08-17 00:53:22
400204,2015-04-27 20:05:09,6432,935,2015-05-06 20:05:09,178,2015-05-07 20:05:09
400205,2016-08-18 07:34:20,5290,765,2016-08-23 07:34:20,139,2016-08-24 07:34:20
400206,2020-10-12 01:46:49,9350,840,2020-10-13 01:46:49,157,2020-10-14 01:46:49
400207,2011-06-19 07:33:43,5170,682,2011-06-28 07:33:43,166,2011-06-29 07:33:43
400208,2010-04-30 23:17:25,5816,941,2010-05-01 23:17:25,164,2010-05-02 23:17:25
400209,2014-04-14 07:17:53,8103,1027,2014-04-23 07:17:53,176,2014-04-24 07:17:53
400210,2010-06-30 02:47:12,9973,677,2010-07-03 02:47:12,164,2010-07-04 02:47:12
400211,2016-07-24 23:10:14,6797,851,2016-07-26 23:10:14,143,2016-07-27 23:10:14
400212,2010-01-22 05:14:13,9009,1033,2010-01-26 05:14:13,127,2010-01-27 05:14:13
400213,2010-08-25 08:33:51,4900,812,2010-08-26 08:33:51,158,2010-08-27 08:33:51
400214,2014-05-31 05:16:11,9170,825,2014-06-04 05:16:11,173,2014-06-05 05:16:11
400215,2016-05-25 05:43:15,8859,892,2016-05-27 05:43:15,164,2016-05-28 05:43:15
400216,2017-07-19 03:09:30,5015,787,2017-07-26 03:09:30,143,2017-07-27 03:09:30
400217,2018-03-13 00:28:25,8156,822,2018-03-21 00:28:25,178,2018-03-22 00:28:25
400218,2013-04-29 13:30:53,4714,650,2013-05-05 13:30:53,175,2013-05-06 13:30:53
400219,2013-12-17 03:21:45,4671,883,2013-12-21 03:21:45,163,2013-12-22 03:21:45
400220,2015-12-19 01:26:07,4718,790,2015-12-23 01:26:07,153,2015-12-24 01:26:07
400221,2013-03-15 23:46:03,6483,1023,2013-03-18 23:46:03,138,2013-03-19 23:46:03
400222,2019-06-06 16:36:33,10272,624,2019-06-07 16:36:33,156,2019-06-08 16:36:33
400223,2013-03-26 20:17:36,9989,827,2013-04-04 20:17:36,183,2013-04-05 20:17:36
400224,2011-11-12 17:11:13,9809,647,2011-11-21 17:11:13,140,2011-11-22 17:11:13
400225,2019-01-31 09:49:40,7761,649,2019-02-06 09:49:40,163,2019-02-07 09:49:40
400226,2011-09-12 12:30:09,5676,822,2011-09-20 12:30:09,143,2011-09-21 12:30:09
400227,2016-06-30 00:10:53,5385,1088,2016-07-07 00:10:53,127,2016-07-08 00:10:53
400228,2018-11-18 04:02:21,7006,608,2018-11-25 04:02:21,156,2018-11-26 04:02:21
400229,2017-06-11 21:26:39,8481,1183,2017-06-18 21:26:39,140,2017-06-19 21:26:39
400230,2011-07-02 05:58:02,7089,679,2011-07-09 05:58:02,174,2011-07-10 05:58:02
400231,2016-10-16 07:23:21,6161,1085,2016-10-24 07:23:21,159,2016-10-25 07:23:21
400232,2018-03-08 06:47:29,5676,653,2018-03-12 06:47:29,127,2018-03-13 06:47:29
400233,2020-02-03 14:51:03,5461,812,2020-02-12 14:51:03,183,2020-02-13 14:51:03
400234,2018-08-29 15:22:17,7591,1133,2018-09-05 15:22:17,170,2018-09-06 15:22:17
400235,2019-09-25 10:58:47,6370,1102,2019-10-04 10:58:47,178,2019-10-05 10:58:47
400236,2016-04-17 21:12:32,7073,888,2016-04-18 21:12:32,138,2016-04-19 21:12:32
400237,2012-08-07 20:57:27,9363,1141,2012-08-16 20:57:27,165,2012-08-17 20:57:27
400238,2015-06-22 00:44:20,5432,693,2015-06-24 00:44:20,164,2015-06-25 00:44:20
400239,2015-08-09 03:30:10,8994,664,2015-08-13 03:30:10,136,2015-08-14 03:30:10
400240,2010-03-14 18:50:03,6314,765,2010-03-19 18:50:03,148,2010-03-20 18:50:03
400241,2013-04-23 18:02:48,5811,813,2013-04-26 18:02:48,160,2013-04-27 18:02:48
400242,2010-09-03 06:25:37,8216,615,2010-09-06 06:25:37,184,2010-09-07 06:25:37
400243,2017-08-10 19:39:36,8139,744,2017-08-17 19:39:36,181,2017-08-18 19:39:36
400244,2015-04-09 22:44:46,7059,641,2015-04-17 22:44:46,161,2015-04-18 22:44:46
400245,2020-05-18 16:35:29,7851,991,2020-05-25 16:35:29,167,2020-05-26 16:35:29
400246,2012-03-22 09:22:02,6174,721,2012-03-26 09:22:02,176,2012-03-27 09:22:02
400247,2016-09-09 00:28:00,9860,602,2016-09-18 00:28:00,179,2016-09-19 00:28:00
400248,2015-06-29 14:30:26,10039,877,2015-07-07 14:30:26,177,2015-07-08 14:30:26
400249,2010-09-26 03:40:25,9357,957,2010-10-03 03:40:25,147,2010-10-04 03:40:25
400250,2011-06-25 06:25:05,6496,931,2011-06-27 06:25:05,143,2011-06-28 06:25:05
400251,2010-02-26 18:22:24,9944,1158,2010-02-28 18:22:24,159,2010-03-01 18:22:24
400252,2013-05-03 19:26:10,8360,641,2013-05-08 19:26:10,158,2013-05-09 19:26:10
400253,2011-06-23 21:43:59,6395,797,2011-06-30 21:43:59,152,2011-07-01 21:43:59
400254,2010-11-06 06:02:25,5687,630,2010-11-08 06:02:25,157,2010-11-09 06:02:25
400255,2011-03-30 11:10:51,5384,1088,2011-04-07 11:10:51,167,2011-04-08 11:10:51
400256,2012-02-25 07:17:00,9363,1140,2012-03-05 07:17:00,136,2012-03-06 07:17:00
400257,2018-07-01 05:03:32,5289,1194,2018-07-05 05:03:32,178,2018-07-06 05:03:32
400258,2019-07-17 13:26:17,4878,859,2019-07-22 13:26:17,140,2019-07-23 13:26:17
400259,2011-10-09 14:59:59,7604,630,2011-10-13 14:59:59,151,2011-10-14 14:59:59
400260,2016-03-13 13:50:08,8474,734,2016-03-21 13:50:08,150,2016-03-22 13:50:08
400261,2018-12-06 21:22:25,6450,682,2018-12-07 21:22:25,173,2018-12-08 21:22:25
400262,2019-11-30 06:12:33,7341,872,2019-12-09 06:12:33,136,2019-12-10 06:12:33
400263,2011-06-30 08:05:37,9586,868,2011-07-08 08:05:37,169,2011-07-09 08:05:37
400264,2016-10-19 18:24:47,5338,1031,2016-10-21 18:24:47,142,2016-10-22 18:24:47
400265,2017-01-04 02:16:24,5054,953,2017-01-10 02:16:24,155,2017-01-11 02:16:24
400266,2019-06-05 15:45:34,6001,650,2019-06-12 15:45:34,176,2019-06-13 15:45:34
400267,2013-08-08 11:13:23,10428,609,2013-08-17 11:13:23,178,2013-08-18 11:13:23
400268,2014-06-25 10:27:18,4863,1160,2014-06-26 10:27:18,136,2014-06-27 10:27:18
400269,2015-05-14 05:42:13,6837,1019,2015-05-21 05:42:13,182,2015-05-22 05:42:13
400270,2013-02-24 21:15:25,6783,972,2013-03-01 21:15:25,147,2013-03-02 21:15:25
400271,2019-12-02 06:16:13,4773,1050,2019-12-03 06:16:13,142,2019-12-04 06:16:13
400272,2016-02-21 13:35:30,7193,909,2016-03-01 13:35:30,129,2016-03-02 13:35:30
400273,2017-01-27 16:44:42,5138,858,2017-02-02 16:44:42,163,2017-02-03 16:44:42
400274,2010-05-15 07:41:14,9949,1147,2010-05-24 07:41:14,176,2010-05-25 07:41:14
400275,2013-02-12 23:48:30,7932,762,2013-02-20 23:48:30,135,2013-02-21 23:48:30
400276,2013-07-16 20:44:32,4656,852,2013-07-21 20:44:32,165,2013-07-22 20:44:32
400277,2014-10-23 02:01:50,8232,1129,2014-10-31 02:01:50,184,2014-11-01 02:01:50
400278,2015-12-07 22:01:35,8665,959,2015-12-09 22:01:35,131,2015-12-10 22:01:35
400279,2016-09-14 08:35:25,7236,850,2016-09-23 08:35:25,146,2016-09-24 08:35:25
400280,2017-08-16 12:26:46,4847,643,2017-08-22 12:26:46,132,2017-08-23 12:26:46
400281,2013-05-13 01:45:50,8008,1104,2013-05-18 01:45:50,141,2013-05-19 01:45:50
